category,name,skipper_last_name,skipper_first_name,nationality,url_link
Ocean Fifty,Primonial,Rogues,Sébastien,France,https://www.routedurhum.com/fr/skipper/27
Class 40,Médecins du monde,Ursault Poupon,Morgane,France,https://www.routedurhum.com/fr/skipper/66
Class 40,VICITAN,Le Vourch,Didier,France,https://www.routedurhum.com/fr/skipper/76
IMOCA,Rêve de Large - Region Guadeloupe,Sepho,Rodolphe,France,https://www.routedurhum.com/fr/skipper/297
Ocean Fifty,Solidaires En Peloton - ARSEP,Vauchel-Camus,Thibaut,France,https://www.routedurhum.com/fr/skipper/102
Ultim,Sodebo Ultim 3,Coville,Thomas,France,https://www.routedurhum.com/fr/skipper/25
IMOCA,Monnoyeur - Duo for a job,Ferre,Benjamin,France,https://www.routedurhum.com/fr/skipper/72
Class 40,Bateau Cit'Hôtel - Région Guadeloupe,Daunar,Sacha,France,https://www.routedurhum.com/fr/skipper/61
Rhum Mono,CAP AU CAP LOCATION,Clerton,Wilfrid,France,https://www.routedurhum.com/fr/skipper/214
Class 40,VIRANGA,Hamez,Emmanuel,France,https://www.routedurhum.com/fr/skipper/130
Rhum Mono,Tradysion Gwadloup,Bissainte,Willy,France,https://www.routedurhum.com/fr/skipper/131
Class 40,VOGUE AVEC UN CROHN,Attwell,Pierre-Louis,France,https://www.routedurhum.com/fr/skipper/58
IMOCA,V and B - Monbana - Mayenne,Sorel,Maxime,France,https://www.routedurhum.com/fr/skipper/15
Class 40,Volvo,Gerckens,Jonas,Belgique,https://www.routedurhum.com/fr/skipper/17
Class 40,Yoda,Bouvet,Franz,France,https://www.routedurhum.com/fr/skipper/38
Ultim,ACTUAL,Le Blévec,Yves,France,https://www.routedurhum.com/fr/skipper/65
IMOCA,TEAMWORK.NET,Mettraux,Justine,France,https://www.routedurhum.com/fr/skipper/304
